U, Run #46
Time ( s )	Y (  )
0,0055	0,240
0,1055	0,240
0,2055	0,239
0,3055	0,237
0,4054	0,235
0,5054	0,233
0,6053	0,230
0,7052	0,226
0,8051	0,221
0,9049	0,214
1,0047	0,206
1,1046	0,199
1,2044	0,191
1,3042	0,183
1,4040	0,174
1,5038	0,167
1,6036	0,156
1,7033	0,146
1,8031	0,134
1,9028	0,123
2,0025	0,110
2,1022	0,097
2,2019	0,084
2,3016	0,070
2,4013	0,055
2,5009	0,040
2,6006	0,026
2,7005	0,020
2,8007	0,031
2,9009	0,041
3,0012	0,051
3,1014	0,059
3,2015	0,067
3,3017	0,074
3,4018	0,080
3,5019	0,084
3,6020	0,089
3,7021	0,092
3,8022	0,094
3,9022	0,096
4,0022	0,096
4,1022	0,096
4,2022	0,095
4,3022	0,094
4,4021	0,092
4,5020	0,089
4,6020	0,086
4,7019	0,082
4,8018	0,077
4,9017	0,072
5,0015	0,066
5,1014	0,060
5,2012	0,053
5,3010	0,045
5,4008	0,036
5,5007	0,028
5,6005	0,021
5,7006	0,024
5,8007	0,031
5,9009	0,037
6,0010	0,043
6,1011	0,048
6,2012	0,052
6,3013	0,056
6,4013	0,058
6,5014	0,060
6,6014	0,060
6,7014	0,060
6,8014	0,059
6,9013	0,058
7,0013	0,056
7,1012	0,053
7,2011	0,050
7,3010	0,046
7,4009	0,041
7,5008	0,036
7,6007	0,031
7,7006	0,025
7,8005	0,021
7,9006	0,026
8,0007	0,031
8,1008	0,035
8,2009	0,038
8,3009	0,041
8,4010	0,043
8,5010	0,044
8,6010	0,044
8,7010	0,044
8,8010	0,042
8,9009	0,041
9,0009	0,038
9,1008	0,035
9,2007	0,031
9,3006	0,028
9,4005	0,023
9,5005	0,022
9,6006	0,026
9,7007	0,030
