T, Run #46
Time ( s )	Y (  )
0,0555	6,234E-5
0,1555	1,031E-4
0,2555	0,003
0,3554	0,003
0,4554	0,003
0,5553	0,007
0,6552	0,013
0,7551	0,017
0,8550	0,032
0,9548	0,036
1,0547	0,038
1,1545	0,040
1,2543	0,047
1,3541	0,054
1,4539	0,036
1,5537	0,070
1,6535	0,077
1,7532	0,086
1,8530	0,095
1,9527	0,104
2,0524	0,113
2,1521	0,122
2,2518	0,133
2,3514	0,143
2,4511	0,154
2,5508	0,138
2,6505	0,020
2,7506	0,071
2,8508	0,074
2,9511	0,062
3,0513	0,049
3,1515	0,038
3,2516	0,030
3,3518	0,023
3,4519	0,016
3,5520	0,011
3,6521	0,007
3,7521	0,004
3,8522	0,002
3,9522	2,674E-4
4,0522	2,036E-5
4,1522	4,355E-4
4,2522	0,001
4,3521	0,003
4,4521	0,005
4,5520	0,007
4,6519	0,011
4,7518	0,014
4,8517	0,018
4,9516	0,023
5,0514	0,029
5,1513	0,035
5,2511	0,040
5,3509	0,048
5,4507	0,044
5,5506	0,040
5,6505	0,010
5,7506	0,030
5,8508	0,026
5,9509	0,024
6,0511	0,017
6,1512	0,011
6,2512	0,007
6,3513	0,004
6,4514	0,002
6,5514	3,462E-4
6,6514	1,145E-5
6,7514	4,123E-4
6,8513	0,001
6,9513	0,003
7,0513	0,005
7,1512	0,008
7,2511	0,011
7,3510	0,014
7,4509	0,019
7,5508	0,017
7,6506	0,026
7,7505	0,009
7,8505	0,018
7,9506	0,013
8,0507	0,011
8,1508	0,008
8,2509	0,005
8,3510	0,002
8,4510	8,268E-4
8,5510	3,848E-5
8,6510	1,272E-4
8,7510	9,279E-4
8,8510	0,002
8,9509	0,004
9,0508	0,007
9,1508	0,008
9,2507	0,009
9,3506	0,015
9,4505	2,675E-4
9,5506	0,010
9,6506	0,009
