E, Run #49
X (  )	Y (  )
0,055	0,390
0,155	0,391
0,255	0,387
0,355	0,388
0,455	0,393
0,555	0,404
0,655	0,397
0,755	0,383
0,854	0,397
0,954	0,388
1,054	0,335
1,154	0,379
1,253	0,388
1,353	0,380
1,453	0,377
1,552	0,379
1,652	0,369
1,751	0,363
1,851	0,343
1,951	0,191
2,051	0,062
2,151	0,173
2,251	0,164
2,351	0,161
2,452	0,160
2,552	0,159
2,652	0,159
2,752	0,160
2,852	0,160
2,952	0,161
3,052	0,161
3,152	0,161
3,252	0,161
3,352	0,161
3,452	0,161
3,552	0,160
3,652	0,161
3,752	0,159
3,852	0,158
3,952	0,157
4,051	0,155
4,151	0,153
4,251	0,139
4,351	0,101
4,451	0,043
4,551	0,088
4,651	0,103
4,751	0,103
4,851	0,102
4,951	0,102
5,051	0,103
5,151	0,103
5,251	0,103
5,351	0,103
5,451	0,103
5,551	0,103
5,651	0,102
5,751	0,102
5,851	0,101
5,951	0,101
6,051	0,090
6,151	0,090
6,250	0,035
6,351	0,074
6,451	0,074
6,551	0,082
6,651	0,082
6,751	0,083
6,851	0,083
6,951	0,083
7,051	0,083
7,151	0,083
7,251	0,083
7,351	0,083
7,451	0,082
7,551	0,081
7,651	0,070
7,751	0,063
7,851	0,040
7,951	0,066
8,051	0,065
8,151	0,071
8,251	0,072
8,351	0,072
8,451	0,072
8,551	0,072
8,651	0,072
8,751	0,072
8,851	0,071
8,951	0,070
9,051	0,062
9,151	0,066
9,250	0,039
9,351	0,059
9,451	0,058
9,551	0,064
9,651	0,064
9,751	0,064
9,851	0,065
9,951	0,064
10,051	0,064
10,151	0,064
10,251	0,060
10,351	0,059
10,451	0,051
10,551	0,041
10,651	0,055
10,751	0,055
