U, Run #51
Time ( s )	Y (  )
0,0055	0,500
0,1054	0,494
0,2054	0,493
0,3053	0,483
0,4052	0,470
0,5050	0,453
0,6047	0,433
0,7094	0,855
0,8042	0,384
0,9039	0,356
1,0036	0,324
1,1032	0,288
1,2027	0,250
1,3023	0,211
1,4018	0,168
1,5013	0,121
1,6008	0,073
1,7005	0,044
1,8006	0,053
1,9009	0,085
2,0012	0,114
2,1015	0,139
2,2018	0,162
2,3020	0,181
2,4022	0,197
2,5023	0,209
2,6024	0,218
2,7025	0,224
2,8025	0,226
2,9025	0,226
3,0024	0,222
3,1024	0,215
3,2023	0,206
3,3021	0,192
3,4019	0,175
3,5017	0,155
3,6015	0,132
3,7012	0,107
3,8009	0,078
3,9005	0,047
4,0004	0,038
4,1006	0,055
4,2008	0,072
4,3009	0,084
4,4010	0,092
4,5011	0,096
4,6011	0,098
4,7010	0,096
4,8010	0,090
4,9009	0,082
5,0008	0,070
5,1006	0,056
5,2004	0,039
5,3004	0,039
5,4006	0,053
5,5007	0,064
5,6008	0,072
5,7008	0,077
5,8009	0,078
5,9008	0,077
6,0008	0,072
6,1007	0,064
6,2006	0,053
6,3004	0,040
6,4004	0,039
6,5006	0,050
6,6007	0,060
6,7007	0,066
6,8008	0,069
6,9008	0,069
7,0007	0,066
7,1007	0,060
7,2006	0,050
7,3004	0,039
7,4004	0,039
7,5006	0,050
7,6006	0,058
7,7007	0,063
7,8007	0,064
7,9007	0,063
8,0006	0,058
8,1005	0,050
8,2004	0,039
8,3004	0,039
8,4005	0,049
8,5006	0,056
8,6007	0,060
8,7007	0,061
8,8006	0,058
8,9006	0,053
9,0005	0,044
9,1004	0,039
9,2005	0,044
9,3006	0,052
9,4006	0,056
9,5006	0,058
9,6006	0,056
9,7006	0,051
9,8005	0,043
9,9004	0,039
10,0005	0,044
10,1006	0,051
