T, Run #49
Time ( s )	Y (  )
0,0555	2,863E-4
0,1554	0,003
0,2554	0,003
0,3553	0,007
0,4552	0,019
0,5551	0,041
0,6549	0,048
0,7547	0,048
0,8545	0,077
0,9542	0,087
1,0540	0,050
1,1537	0,112
1,2534	0,143
1,3531	0,159
1,4527	0,183
1,5523	0,212
1,6519	0,232
1,7515	0,258
1,8510	0,270
1,9506	0,146
2,0505	0,024
2,1508	0,120
2,2510	0,090
2,3513	0,069
2,4515	0,052
2,5517	0,038
2,6519	0,027
2,7520	0,018
2,8521	0,011
2,9522	0,006
3,0522	0,002
3,1522	4,579E-5
3,2522	7,157E-5
3,3522	0,002
3,4522	0,006
3,5521	0,011
3,6520	0,020
3,7519	0,026
3,8517	0,037
3,9515	0,049
4,0513	0,062
4,1511	0,077
4,2508	0,080
4,3506	0,059
4,4505	0,006
4,5506	0,042
4,6508	0,044
4,7510	0,032
4,8511	0,021
4,9513	0,013
5,0513	0,007
5,1514	0,003
5,2514	5,086E-4
5,3514	5,375E-5
5,4514	0,001
5,5514	0,005
5,6513	0,009
5,7512	0,016
5,8511	0,024
5,9509	0,034
6,0508	0,036
6,1506	0,048
6,2505	9,189E-5
6,3506	0,033
6,4507	0,022
6,5509	0,021
6,6510	0,013
6,7511	0,007
6,8511	0,003
6,9512	5,608E-4
7,0512	1,558E-5
7,1511	0,001
7,2511	0,004
7,3510	0,009
7,4509	0,015
7,5508	0,023
7,6507	0,021
7,7506	0,024
7,8505	0,004
7,9506	0,023
8,0507	0,014
8,1508	0,012
8,2509	0,007
8,3510	0,003
8,4510	5,086E-4
8,5510	5,375E-5
8,6510	0,001
8,7509	0,004
8,8509	0,009
8,9508	0,015
9,0507	0,014
9,1505	0,028
9,2505	0,003
9,3506	0,018
9,4507	0,010
9,5508	0,009
9,6508	0,004
9,7509	0,001
9,8509	3,848E-5
9,9509	5,348E-4
10,0509	0,003
10,1508	0,007
10,2507	0,008
10,3506	0,013
10,4505	0,013
10,5505	0,005
10,6506	0,013
10,7507	0,007
