E, Run #46
X (  )	Y (  )
0,056	0,240
0,156	0,240
0,255	0,241
0,355	0,239
0,455	0,237
0,555	0,238
0,655	0,241
0,755	0,241
0,855	0,249
0,955	0,246
1,055	0,240
1,154	0,235
1,254	0,234
1,354	0,232
1,454	0,207
1,554	0,232
1,653	0,228
1,753	0,227
1,853	0,224
1,953	0,220
2,052	0,216
2,152	0,213
2,252	0,210
2,351	0,206
2,451	0,202
2,551	0,171
2,651	0,043
2,751	0,096
2,851	0,109
2,951	0,108
3,051	0,104
3,151	0,102
3,252	0,100
3,352	0,100
3,452	0,098
3,552	0,098
3,652	0,097
3,752	0,097
3,852	0,096
3,952	0,096
4,052	0,096
4,152	0,096
4,252	0,096
4,352	0,096
4,452	0,095
4,552	0,095
4,652	0,094
4,752	0,094
4,852	0,093
4,952	0,092
5,051	0,092
5,151	0,091
5,251	0,089
5,351	0,088
5,451	0,076
5,551	0,065
5,651	0,033
5,751	0,058
5,851	0,060
5,951	0,064
6,051	0,063
6,151	0,062
6,251	0,061
6,351	0,061
6,451	0,060
6,551	0,060
6,651	0,060
6,751	0,060
6,851	0,060
6,951	0,060
7,051	0,060
7,151	0,059
7,251	0,058
7,351	0,058
7,451	0,057
7,551	0,050
7,651	0,053
7,751	0,032
7,851	0,041
7,951	0,042
8,051	0,043
8,151	0,044
8,251	0,045
8,351	0,044
8,451	0,044
8,551	0,044
8,651	0,044
8,751	0,044
8,851	0,044
8,951	0,044
9,051	0,043
9,151	0,041
9,251	0,039
9,351	0,041
9,451	0,023
9,551	0,034
9,651	0,037
